Capped Bust To Right|Eagle|1799|Philadelphia|Heraldic Eagle Reverse||17.50000
Capped Bust To Right|Eagle|1800|Philadelphia|Heraldic Eagle Reverse||17.50000
Capped Bust To Right|Eagle|1801|Philadelphia|Heraldic Eagle Reverse||17.50000
Capped Bust To Right|Eagle|1803|Philadelphia|Heraldic Eagle Reverse||17.50000
Capped Bust To Right|Eagle|1804|Philadelphia|Heraldic Eagle Reverse||17.50000
Liberty Head, No Motto Above Eagle|Eagle|1838|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1839|Philadelphia||Large Letters|16.72000
Liberty Head, No Motto Above Eagle|Eagle|1839|Philadelphia||Small Letters|16.72000
Liberty Head, No Motto Above Eagle|Eagle|1840|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1841|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1841|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1842|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1842|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1843|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1843|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1844|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1844|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1845|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1845|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1846|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1846|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1847|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1847|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1848|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1848|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1849|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1849|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1850|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1850|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1851|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1851|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1852|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1852|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1853|Philadelphia||3 Over 2|16.72000
Liberty Head, No Motto Above Eagle|Eagle|1853|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1853|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1854|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1854|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1854|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1855|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1855|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1855|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1856|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1856|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1856|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1857|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1857|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1857|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1858|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1858|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1858|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1859|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1859|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1859|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1860|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1860|New Orleans|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1860|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1861|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1861|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1862|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1862|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1863|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1863|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1864|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1864|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1865|Philadelphia|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1865|San Francisco|||16.72000
Liberty Head, No Motto Above Eagle|Eagle|1866|San Francisco|||16.72000
Indian Head|Eagle|1907|Philadelphia|Variety 1 - No Motto|Wire Rim - Periods|16.72000
Indian Head|Eagle|1907|Philadelphia|Variety 1 - No Motto|Rounded Rim - Periods Before and After *E*PLURIBUS*UNUM*|16.72000
Indian Head|Eagle|1907|Philadelphia|Variety 1 - No Motto|No Periods|16.72000
Indian Head|Eagle|1908|Philadelphia|Variety 1 - No Motto||16.72000
Indian Head|Eagle|1908|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1908|Denver|Variety 1 - No Motto||16.72000
Indian Head|Eagle|1908|Denver|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1908|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1909|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1909|Denver|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1909|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1910|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1910|Denver|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1910|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1911|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1911|Denver|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1911|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1912|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1912|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1913|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1913|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1914|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1914|Denver|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1914|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1915|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1915|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1916|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1920|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1926|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1930|San Francisco|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1932|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Indian Head|Eagle|1933|Philadelphia|Variety 2 - Motto on Reverse||16.72000
Capped Bust To Right|Half Eagle|1795|Philadelphia|Small Eagle Reverse||8.75000
Capped Bust To Right|Half Eagle|1795|Philadelphia|Heraldic Eagle Reverse||8.75000
Capped Bust To Right|Half Eagle|1796|Philadelphia|Small Eagle Reverse|6 Over 5|8.75000
Capped Bust To Right|Half Eagle|1797|Philadelphia|Small Eagle Reverse|15 Stars|8.75000
Capped Bust To Right|Half Eagle|1797|Philadelphia|Small Eagle Reverse|16 Stars|8.75000
Capped Bust To Right|Half Eagle|1797|Philadelphia|Heraldic Eagle Reverse|7 Over 5|8.75000
Capped Bust To Right|Half Eagle|1798|Philadelphia|Heraldic Eagle Reverse|Large 8 - 14-Star Reverse|8.75000
Capped Bust To Right|Half Eagle|1798|Philadelphia|Small Eagle Reverse||8.75000
Capped Bust To Right|Half Eagle|1798|Philadelphia|Heraldic Eagle Reverse|Large 8 - 13-Star Reverse|8.75000
Capped Bust To Right|Half Eagle|1799|Philadelphia|Heraldic Eagle Reverse||8.75000
Capped Bust To Right|Half Eagle|1800|Philadelphia|Heraldic Eagle Reverse||8.75000
Capped Bust To Right|Half Eagle|1802|Philadelphia|Heraldic Eagle Reverse|2 Over 1|8.75000
Capped Bust To Right|Half Eagle|1803|Philadelphia|Heraldic Eagle Reverse|3 Over 2|8.75000
Capped Bust To Right|Half Eagle|1804|Philadelphia|Heraldic Eagle Reverse|All Kinds|8.75000
Capped Bust To Right|Half Eagle|1805|Philadelphia|Heraldic Eagle Reverse||8.75000
Capped Bust To Right|Half Eagle|1806|Philadelphia|Heraldic Eagle Reverse||8.75000
Capped Bust To Right|Half Eagle|1807|Philadelphia|Heraldic Eagle Reverse||8.75000
Capped Bust To Left|Half Eagle|1807|Philadelphia|||8.75000
Capped Bust To Left|Half Eagle|1808|Philadelphia||All Kinds|8.75000
Capped Bust To Left|Half Eagle|1808|Philadelphia||8 Over 7|8.75000
Capped Bust To Left|Half Eagle|1808|Philadelphia|||8.75000
Capped Bust To Left|Half Eagle|1809|Philadelphia||9 Over 8|8.75000
Capped Bust To Left|Half Eagle|1810|Philadelphia|||8.75000
Capped Bust To Left|Half Eagle|1811|Philadelphia|||8.75000
Capped Bust To Left|Half Eagle|1812|Philadelphia|||8.75000
Capped Head To Left|Half Eagle|1813|Philadelphia|Large Diameter||8.75000
Capped Head To Left|Half Eagle|1814|Philadelphia|Large Diameter|4 Over 3|8.75000
Capped Head To Left|Half Eagle|1815|Philadelphia|Large Diameter||8.75000
Capped Head To Left|Half Eagle|1818|Philadelphia|Large Diameter||8.75000
