coin	denomination	year	mint	yearGrouping	mintGrouping	fileName	caption
Liberty Walking	Half Dollar	1944	Denver			thumbnails/UsOurCoin/1944D|Liberty Walking||||Y|N|0|HALF DOLLAR||16.85||ebay|2012-07-28||/2-reverse.jpeg	
Liberty Walking	Half Dollar	1944	Denver			thumbnails/UsOurCoin/1944D|Liberty Walking||||Y|N|0|HALF DOLLAR||16.85||ebay|2012-07-28||/3-reverse-zoom.jpeg	
Liberty Walking	Half Dollar	1944	Denver			thumbnails/UsOurCoin/1944D|Liberty Walking||||Y|N|0|HALF DOLLAR||16.85||ebay|2012-07-28||/1-obverse.jpeg	
Kennedy	Half Dollar	1964	Philadelphia	Silver Coinage		thumbnails/UsOurCoin/1964|Kennedy||||Y|N|1|HALF DOLLAR||19.99|Y|ebay|2012-10-31|Silver Coinage|/01-obverse.JPG	
Kennedy	Half Dollar	1964	Philadelphia	Silver Coinage		thumbnails/UsOurCoin/1964|Kennedy||||Y|N|1|HALF DOLLAR||19.99|Y|ebay|2012-10-31|Silver Coinage|/02-reverse.JPG	
Kennedy	Half Dollar	1964	Philadelphia	Silver Coinage		thumbnails/UsOurCoin/1964|Kennedy||||Y|N|1|HALF DOLLAR||19.99|Y|ebay|2012-10-31|Silver Coinage|/03-reverse.JPG	
Liberty Seated	Quarter	1875	Philadelphia	Variety 4 Resumed, With Weight Standard of Variety 5		thumbnails/UsOurCoin/1875|Liberty Seated||||Y|N|0|QUARTER||18.35||ebay|2012-07-28|Variety 4 Resumed, With Weight Standard of Variety 5|/1-obverse.jpeg	
Liberty Seated	Quarter	1875	Philadelphia	Variety 4 Resumed, With Weight Standard of Variety 5		thumbnails/UsOurCoin/1875|Liberty Seated||||Y|N|0|QUARTER||18.35||ebay|2012-07-28|Variety 4 Resumed, With Weight Standard of Variety 5|/2-reverse.jpeg	
Liberty Seated	Quarter	1875	San Francisco	Variety 4 Resumed, With Weight Standard of Variety 5		thumbnails/UsOurCoin/1875S|Liberty Seated||||Y|N|0|QUARTER||18.35||ebay|2012-07-28|Variety 4 Resumed, With Weight Standard of Variety 5|/1-obverse.jpeg	
Liberty Seated	Quarter	1875	San Francisco	Variety 4 Resumed, With Weight Standard of Variety 5		thumbnails/UsOurCoin/1875S|Liberty Seated||||Y|N|0|QUARTER||18.35||ebay|2012-07-28|Variety 4 Resumed, With Weight Standard of Variety 5|/2-reverse.jpeg	
Barber or Liberty Head	Quarter	1898	Philadelphia			thumbnails/UsOurCoin/1898|Barber or Liberty Head||||Y|N|0|QUARTER||12.51||ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Quarter	1898	Philadelphia			thumbnails/UsOurCoin/1898|Barber or Liberty Head||||Y|N|0|QUARTER||12.51||ebay|2012-07-28||/2-reverse.jpeg	
Barber or Liberty Head	Quarter	1915	Philadelphia			thumbnails/UsOurCoin/1915|Barber or Liberty Head||||Y|N|0|QUARTER||8.30||ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Dime	1916	Philadelphia			thumbnails/UsOurCoin/1916|Barber or Liberty Head||||Y|N|0|DIME||17.49||ebay|2012-07-28||/1-obverse.jpeg	
Barber or Liberty Head	Dime	1916	Philadelphia			thumbnails/UsOurCoin/1916|Barber or Liberty Head||||Y|N|0|DIME||17.49||ebay|2012-07-28||/2-reverse.jpeg	
Liberty Seated	Half Dime	1857	Philadelphia	Variety 2 Resumed, with Weight Standard of 1853		thumbnails/UsOurCoin/1857|Liberty Seated||||Y|N|0|HALF DIME|Variety 2 Resumed, with Weight Standard of 1853|23.75||ebay|2012-07-28|Variety 2 Resumed, with Weight Standard of 1853|/2-reverse.jpeg	
Liberty Seated	Half Dime	1857	Philadelphia	Variety 2 Resumed, with Weight Standard of 1853		thumbnails/UsOurCoin/1857|Liberty Seated||||Y|N|0|HALF DIME|Variety 2 Resumed, with Weight Standard of 1853|23.75||ebay|2012-07-28|Variety 2 Resumed, with Weight Standard of 1853|/1-obverse.jpeg	
Silver - Trime	Three-Cent Piece	1852	Philadelphia			thumbnails/UsOurCoin/1852|Silver - Trime||||Y|N|0|THREE-CENT PIECE||42.23||ebay|2012-12-07||/01-obverse.JPG	
Silver - Trime	Three-Cent Piece	1852	Philadelphia			thumbnails/UsOurCoin/1852|Silver - Trime||||Y|N|0|THREE-CENT PIECE||42.23||ebay|2012-12-07||/02-reverse.JPG	
Silver - Trime	Three-Cent Piece	1852	Philadelphia			thumbnails/UsOurCoin/1852|Silver - Trime||||Y|N|0|THREE-CENT PIECE||42.23||ebay|2012-12-07||/03-obverse.JPG	
Silver - Trime	Three-Cent Piece	1852	Philadelphia			thumbnails/UsOurCoin/1852|Silver - Trime||||Y|N|0|THREE-CENT PIECE||42.23||ebay|2012-12-07||/04-reverse.JPG	
Silver - Trime	Three-Cent Piece	1861	Philadelphia			thumbnails/UsOurCoin/1861|Silver - Trime||||Y|N|0|THREE-CENT PIECE||85.20|Y|ebay|2012-12-07||/01-obverse.JPG	
Silver - Trime	Three-Cent Piece	1861	Philadelphia			thumbnails/UsOurCoin/1861|Silver - Trime||||Y|N|0|THREE-CENT PIECE||85.20|Y|ebay|2012-12-07||/02-reverse.JPG	
