coin	denomination	year	mint	yearGrouping	mintGrouping	metal	percentage
Saint-Gaudens	Double Eagle	1913	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1913	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1913	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1913	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1914	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1914	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1914	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1914	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1914	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1914	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1915	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1915	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1915	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1915	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1916	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1916	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1920	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1920	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1920	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1920	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1921	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1921	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1922	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1922	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1922	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1922	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1923	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1923	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1923	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1923	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1924	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1924	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1924	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1924	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1924	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1924	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1925	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1925	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1925	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1925	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1925	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1925	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1926	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1926	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1926	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1926	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1926	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1926	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1927	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1927	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1927	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1927	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1927	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1927	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1928	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1928	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1929	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1929	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1930	San Francisco	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1930	San Francisco	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1931	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1931	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1931	Denver	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1931	Denver	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1932	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1932	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Saint-Gaudens	Double Eagle	1933	Philadelphia	Arabic Numerals, No Motto		Gold	90.00000
Saint-Gaudens	Double Eagle	1933	Philadelphia	Arabic Numerals, No Motto		Copper	10.00000
Capped Bust To Right	Eagle	1795	Philadelphia	Small Eagle Reverse		Copper	8.00000
Capped Bust To Right	Eagle	1795	Philadelphia	Small Eagle Reverse		Gold	92.00000
Capped Bust To Right	Eagle	1796	Philadelphia	Small Eagle Reverse		Gold	92.00000
Capped Bust To Right	Eagle	1796	Philadelphia	Small Eagle Reverse		Copper	8.00000
Capped Bust To Right	Eagle	1797	Philadelphia	Small Eagle Reverse	Small Eagle	Gold	92.00000
Capped Bust To Right	Eagle	1797	Philadelphia	Small Eagle Reverse	Small Eagle	Copper	8.00000
Capped Bust To Right	Eagle	1797	Philadelphia	Heraldic Eagle Reverse	Large Eagle	Gold	90.00000
Capped Bust To Right	Eagle	1797	Philadelphia	Heraldic Eagle Reverse	Large Eagle	Copper	10.00000
Capped Bust To Right	Eagle	1798	Philadelphia	Heraldic Eagle Reverse	8 Over 7 - 9 Stars Left - 4 Rt	Copper	10.00000
Capped Bust To Right	Eagle	1798	Philadelphia	Heraldic Eagle Reverse	8 Over 7 - 7 Stars Left - 6 Rt	Gold	90.00000
Capped Bust To Right	Eagle	1798	Philadelphia	Heraldic Eagle Reverse	8 Over 7 - 7 Stars Left - 6 Rt	Copper	10.00000
Capped Bust To Right	Eagle	1798	Philadelphia	Heraldic Eagle Reverse	8 Over 7 - 9 Stars Left - 4 Rt	Gold	90.00000
Capped Bust To Right	Eagle	1799	Philadelphia	Heraldic Eagle Reverse		Gold	90.00000
Capped Bust To Right	Eagle	1799	Philadelphia	Heraldic Eagle Reverse		Copper	10.00000
Capped Bust To Right	Eagle	1800	Philadelphia	Heraldic Eagle Reverse		Gold	90.00000
Capped Bust To Right	Eagle	1800	Philadelphia	Heraldic Eagle Reverse		Copper	10.00000
Capped Bust To Right	Eagle	1801	Philadelphia	Heraldic Eagle Reverse		Copper	10.00000
Capped Bust To Right	Eagle	1801	Philadelphia	Heraldic Eagle Reverse		Gold	90.00000
Capped Bust To Right	Eagle	1803	Philadelphia	Heraldic Eagle Reverse		Gold	90.00000
Capped Bust To Right	Eagle	1803	Philadelphia	Heraldic Eagle Reverse		Copper	10.00000
Capped Bust To Right	Eagle	1804	Philadelphia	Heraldic Eagle Reverse		Gold	90.00000
Capped Bust To Right	Eagle	1804	Philadelphia	Heraldic Eagle Reverse		Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1838	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1838	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1839	Philadelphia		Large Letters	Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1839	Philadelphia		Small Letters	Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1839	Philadelphia		Small Letters	Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1839	Philadelphia		Large Letters	Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1840	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1840	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1841	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1841	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1841	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1841	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1842	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1842	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1842	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1842	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1843	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1843	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1843	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1843	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1844	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1844	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1844	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1844	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1845	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1845	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1845	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1845	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1846	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1846	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1846	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1846	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1847	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1847	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1847	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1847	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1848	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1848	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1848	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1848	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1849	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1849	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1849	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1849	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1850	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1850	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1850	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1850	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1851	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1851	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1851	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1851	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1852	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1852	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1852	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1852	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1853	Philadelphia		3 Over 2	Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1853	Philadelphia		3 Over 2	Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1853	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1853	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1853	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1853	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1854	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1854	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1854	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1854	New Orleans			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1854	San Francisco			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1854	San Francisco			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1855	Philadelphia			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1855	Philadelphia			Copper	10.00000
Liberty Head, No Motto Above Eagle	Eagle	1855	New Orleans			Gold	90.00000
Liberty Head, No Motto Above Eagle	Eagle	1855	New Orleans			Copper	10.00000
