name	name	year	additionalInfo	name	symbol	additionalInfo	title	value
Liberty Head	Double Eagle	1860	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	Philadelphia	P		AU-55	1655.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	Philadelphia	P		MS-60	2750.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	Philadelphia	P		MS-63	10000.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	Philadelphia	P		PF-63	65000.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	San Francisco	S		EF-40	1635.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	San Francisco	S		AU-50	1675.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	San Francisco	S		AU-55	1700.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	San Francisco	S		MS-60	5500.00
Liberty Head	Double Eagle	1860	Without Motto on Reverse	San Francisco	S		MS-63	10000.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	New Orleans	O		VF-20	3250.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	New Orleans	O		EF-40	10000.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	New Orleans	O		AU-50	27500.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	New Orleans	O		AU-55	37500.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	New Orleans	O		MS-60	62500.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	Philadelphia	P		AU-55	1650.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	Philadelphia	P		MS-60	2750.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	Philadelphia	P		MS-63	7500.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	Philadelphia	P		PF-63	65000.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	San Francisco	S		AU-50	1650.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	San Francisco	S		AU-55	1675.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	San Francisco	S		MS-60	6500.00
Liberty Head	Double Eagle	1861	Without Motto on Reverse	San Francisco	S		MS-63	22000.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	Philadelphia	P		EF-40	1950.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	Philadelphia	P		AU-50	3750.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	Philadelphia	P		AU-55	5000.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	Philadelphia	P		MS-60	11000.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	Philadelphia	P		MS-63	26500.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	Philadelphia	P		PF-63	45000.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	San Francisco	S		AU-50	1650.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	San Francisco	S		AU-55	1800.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	San Francisco	S		MS-60	6500.00
Liberty Head	Double Eagle	1862	Without Motto on Reverse	San Francisco	S		MS-63	22000.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	Philadelphia	P		AU-50	1650.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	Philadelphia	P		AU-55	3250.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	Philadelphia	P		MS-60	13250.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	Philadelphia	P		MS-63	24500.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	Philadelphia	P		PF-63	45000.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	San Francisco	S		AU-50	1650.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	San Francisco	S		AU-55	1800.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	San Francisco	S		MS-60	5000.00
Liberty Head	Double Eagle	1863	Without Motto on Reverse	San Francisco	S		MS-63	22500.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	Philadelphia	P		AU-50	1650.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	Philadelphia	P		AU-55	1800.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	Philadelphia	P		MS-60	7500.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	Philadelphia	P		PF-63	45000.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	San Francisco	S		AU-50	1650.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	San Francisco	S		AU-55	1700.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	San Francisco	S		MS-60	5500.00
Liberty Head	Double Eagle	1864	Without Motto on Reverse	San Francisco	S		MS-63	22500.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	Philadelphia	P		AU-50	1650.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	Philadelphia	P		AU-55	1675.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	Philadelphia	P		MS-60	4250.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	Philadelphia	P		MS-63	13250.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	Philadelphia	P		PF-63	45000.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	San Francisco	S		AU-50	1650.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	San Francisco	S		AU-55	1700.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	San Francisco	S		MS-60	3000.00
Liberty Head	Double Eagle	1865	Without Motto on Reverse	San Francisco	S		MS-63	6750.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-55	1650.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-60	5500.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-63	16500.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	Philadelphia	P		PF-63	42500.00
Liberty Head	Double Eagle	1866	Without Motto on Reverse	San Francisco	S		VF-20	2250.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1866	Without Motto on Reverse	San Francisco	S		EF-40	5500.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1866	Without Motto on Reverse	San Francisco	S		AU-50	22500.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-50	1635.00
Liberty Head	Double Eagle	1866	Without Motto on Reverse	San Francisco	S		AU-55	32500.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-55	3250.00
Liberty Head	Double Eagle	1866	Without Motto on Reverse	San Francisco	S		MS-60	80000.00
Liberty Head	Double Eagle	1866	Motto Above Eagle - Value TWENTY D	San Francisco	S		MS-60	11250.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-55	1650.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-60	2150.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-63	12500.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	Philadelphia	P		PF-63	42500.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-50	1635.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-55	1650.00
Liberty Head	Double Eagle	1867	Motto Above Eagle - Value TWENTY D	San Francisco	S		MS-60	7500.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-55	1650.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-60	7500.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-63	37500.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	Philadelphia	P		PF-63	42500.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-50	1635.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-55	1650.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	San Francisco	S		MS-60	8500.00
Liberty Head	Double Eagle	1868	Motto Above Eagle - Value TWENTY D	San Francisco	S		MS-63	30000.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	Philadelphia	P		VF-20	1600.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	Philadelphia	P		EF-40	1625.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-50	1635.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	Philadelphia	P		AU-55	1650.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-60	5500.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	Philadelphia	P		MS-63	16250.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	Philadelphia	P		PF-63	42500.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	San Francisco	S		VF-20	1600.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	San Francisco	S		EF-40	1625.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-50	1635.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	San Francisco	S		AU-55	1650.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	San Francisco	S		MS-60	5500.00
Liberty Head	Double Eagle	1869	Motto Above Eagle - Value TWENTY D	San Francisco	S		MS-63	32500.00
