Liberty Head|Double Eagle|1883|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||NULL|92|1|0
Liberty Head|Double Eagle|1883|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||59962|0|1|0
Liberty Head|Double Eagle|1883|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1189000|0|1|0
Liberty Head|Double Eagle|1884|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||NULL|71|1|0
Liberty Head|Double Eagle|1884|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||81139|0|1|0
Liberty Head|Double Eagle|1884|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||916000|0|1|0
Liberty Head|Double Eagle|1885|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||751|77|1|0
Liberty Head|Double Eagle|1885|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||9450|0|1|0
Liberty Head|Double Eagle|1885|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||683500|0|1|0
Liberty Head|Double Eagle|1886|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1000|106|1|0
Liberty Head|Double Eagle|1887|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||NULL|121|1|0
Liberty Head|Double Eagle|1887|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||283000|0|1|0
Liberty Head|Double Eagle|1888|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||226161|105|1|0
Liberty Head|Double Eagle|1888|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||859600|0|1|0
Liberty Head|Double Eagle|1889|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||44070|41|1|0
Liberty Head|Double Eagle|1889|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||30945|0|1|0
Liberty Head|Double Eagle|1889|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||774700|0|1|0
Liberty Head|Double Eagle|1890|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||75940|55|1|0
Liberty Head|Double Eagle|1890|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||91209|0|1|0
Liberty Head|Double Eagle|1890|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||802750|0|1|0
Liberty Head|Double Eagle|1891|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1288125|0|1|0
Liberty Head|Double Eagle|1891|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||1390|52|1|0
Liberty Head|Double Eagle|1891|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||5000|0|1|0
Liberty Head|Double Eagle|1892|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||4430|93|1|0
Liberty Head|Double Eagle|1892|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||27265|0|1|0
Liberty Head|Double Eagle|1892|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||930150|0|1|0
Liberty Head|Double Eagle|1893|Motto Above Eagle - Value TWENTY DOLLARS|Philadelphia|P||344280|59|1|0
Liberty Head|Double Eagle|1893|Motto Above Eagle - Value TWENTY DOLLARS|Carson City|CC||18402|0|1|0
Liberty Head|Double Eagle|1893|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||996175|0|1|0
Liberty Head|Double Eagle|1894|Motto Above Eagle - Value TWENTY DOLLARS|San Francisco|S||1048550|0|1|0
